project_id,team_size,project_budget,actual_budget,planned_duration,actual_duration,issues_reported,satisfaction_score,manager_experience_years,complexity,industry,on_time,under_budget,success
P166,6,346649.7,385800.39,353,457.5,20,80.8,8.1,High,Retail,0,0,0
P421,24,598760.2,522764.95,319,342.4,6,94.7,14.3,Medium,Finance,0,1,0
P614,5,686278.35,822950.99,289,406.2,9,80.4,12.7,Medium,Technology,0,0,0
P274,41,846767.62,799873.83,139,115.7,8,65.4,6.1,Low,Finance,1,1,0
P597,13,285779.14,284328.01,156,171.8,10,81.5,13.1,Low,Retail,0,1,0
P480,21,109896.25,106093.07,147,219.2,14,85.6,2.5,Low,Finance,0,1,0
P767,13,223197.07,192478.02,348,274.0,9,80.1,14.0,Medium,Technology,1,1,1
P581,15,910016.78,1359979.94,219,203.8,10,74.3,9.8,Medium,Healthcare,1,0,0
P399,19,886501.07,798583.89,304,385.5,11,72.6,1.8,High,Healthcare,0,1,0
P265,28,637671.79,768205.95,261,312.8,10,72.5,10.0,Medium,Finance,0,0,0
P498,42,640465.17,500378.92,347,305.8,6,82.0,14.6,High,Technology,1,1,1
P713,39,698533.01,750522.22,191,190.2,14,60.9,2.0,High,Healthcare,1,0,0
P482,34,257834.15,282528.07,298,239.8,13,71.3,8.8,Low,Finance,1,0,0
P176,35,922970.75,918507.82,205,275.7,6,91.0,11.5,Medium,Finance,0,1,0
P428,9,476893.47,422431.79,353,365.7,12,91.3,12.3,Low,Technology,0,1,0
P550,48,444824.68,421398.26,239,370.0,14,60.2,6.8,Medium,Retail,0,1,0
P639,18,567025.93,521290.81,125,140.0,6,63.7,3.9,High,Finance,0,1,0
P366,15,142269.37,210616.32,297,310.4,13,72.3,1.6,Low,Retail,0,0,0
P423,13,249655.03,248526.44,195,199.1,8,83.9,9.1,Medium,Retail,0,1,0
P648,38,764230.25,844457.43,247,256.6,13,56.7,7.3,Medium,Healthcare,0,0,0
P697,16,174518.8,236704.22,210,236.8,12,74.5,14.3,Medium,Retail,0,0,0
P831,39,642836.9,530170.9,144,248.8,15,70.3,1.8,Medium,Technology,0,1,0
P839,39,320814.2,323230.59,101,102.5,11,88.3,10.6,Medium,Healthcare,0,0,0
P948,5,450366.05,426119.59,234,239.5,8,58.2,1.3,Low,Healthcare,0,1,0
P546,44,359824.36,353625.42,225,251.2,10,75.9,3.4,Low,Healthcare,0,1,0
P693,26,420105.44,405064.66,92,126.3,12,71.1,7.4,Low,Finance,0,1,0
P419,33,747141.31,637778.19,233,173.5,17,89.7,7.4,Medium,Finance,1,1,1
P522,12,367409.54,381768.66,119,144.4,5,81.0,10.6,Low,Retail,0,0,0
P310,15,609764.18,480173.1,326,292.0,10,69.1,13.7,High,Healthcare,1,1,0
P773,45,528445.36,632959.46,204,252.6,10,83.5,9.9,Medium,Healthcare,0,0,0
P315,41,697304.05,784231.34,193,188.5,11,71.1,14.3,Medium,Technology,1,0,0
P933,18,943146.77,850065.19,207,108.5,9,85.0,13.3,Medium,Retail,1,1,1
P669,34,759314.89,691738.4,94,112.1,15,72.6,9.2,Medium,Technology,0,1,0
P963,39,293446.34,309615.85,337,401.1,9,85.5,12.7,High,Retail,0,0,0
P984,25,128064.82,107611.71,210,200.6,11,79.4,10.0,Low,Retail,1,1,0
P196,41,336037.64,457816.34,238,223.8,4,100.0,2.1,Low,Finance,1,0,0
P394,9,635570.14,681067.52,173,133.6,11,74.5,11.4,Medium,Finance,1,0,0
P925,23,146283.23,157788.79,320,413.8,7,78.8,2.3,Low,Technology,0,0,0
P564,18,546729.62,621242.86,250,330.1,7,70.2,9.3,Low,Retail,0,0,0
P632,30,637158.56,563316.57,361,317.8,20,75.0,10.8,Medium,Healthcare,1,1,0
P906,8,400819.5,488118.79,127,122.6,12,48.0,1.9,Low,Finance,1,0,0
P947,29,793820.98,812004.78,315,341.5,16,79.7,4.2,Medium,Healthcare,0,0,0
P178,49,195938.43,233172.43,231,385.2,14,88.4,13.8,Low,Technology,0,0,0
P890,46,167624.0,160987.66,240,296.7,11,79.0,9.6,High,Finance,0,1,0
P390,29,755369.88,954376.34,203,175.4,13,61.9,4.4,Medium,Finance,1,0,0
P830,22,545942.18,589764.27,326,383.4,12,67.0,10.7,Medium,Retail,0,0,0
P239,44,719562.16,1033652.05,155,117.2,5,50.7,9.4,Medium,Technology,1,0,0
P681,12,491344.6,455032.11,347,444.0,11,84.8,8.0,High,Retail,0,1,0
P595,43,321761.83,334925.07,338,513.4,14,64.9,14.7,Low,Finance,0,0,0
P462,44,837192.09,664466.59,269,408.9,5,74.7,10.6,High,Technology,0,1,0
P165,18,819474.29,732725.03,279,358.2,12,73.5,6.3,Medium,Finance,0,1,0
P318,36,725226.82,814964.44,243,231.9,12,89.9,12.2,Medium,Technology,1,0,0
P304,42,344930.62,422838.34,285,220.8,8,75.9,13.4,Medium,Finance,1,0,0
P702,37,631207.6,1005515.01,351,263.2,11,83.1,2.8,Low,Healthcare,1,0,0
P988,27,424876.51,416665.44,232,92.4,12,80.5,3.8,Medium,Healthcare,1,1,1
P977,19,182423.87,148375.79,190,242.0,12,88.6,4.0,Medium,Retail,0,1,0
P792,37,925582.22,1065035.2,333,357.7,14,72.6,10.7,Low,Healthcare,0,0,0
P926,29,223136.77,172804.82,101,134.1,10,93.7,9.4,Medium,Finance,0,1,0
P149,21,955213.62,1063014.71,328,477.9,12,55.1,9.7,Low,Finance,0,0,0
P756,37,501405.2,451038.47,138,155.2,9,83.6,14.2,Low,Healthcare,0,1,0
P821,6,266619.64,277902.71,131,148.9,6,66.3,11.9,Low,Retail,0,0,0
P444,18,587710.85,715954.78,255,250.9,14,70.1,2.8,Low,Healthcare,1,0,0
P380,44,885651.25,866037.01,171,173.3,7,80.7,5.9,Medium,Technology,0,1,0
P993,44,759002.4,900613.89,247,316.7,7,80.6,7.1,Low,Technology,0,0,0
P313,43,825905.03,970134.24,305,322.2,13,81.1,6.5,High,Technology,0,0,0
P398,10,692905.03,434544.09,247,252.0,9,61.1,10.4,Medium,Healthcare,0,1,0
P133,10,723048.91,592668.62,223,244.3,10,89.5,13.5,Low,Healthcare,0,1,0
P131,7,864276.09,594309.62,156,206.2,10,66.0,5.3,Medium,Healthcare,0,1,0
P772,11,324701.21,454694.5,96,89.0,7,67.3,8.7,High,Technology,1,0,0
P775,12,540482.47,529089.97,103,111.6,8,81.4,12.1,Medium,Retail,0,1,0
P657,46,299088.5,405613.6,162,188.1,6,72.1,6.8,Low,Finance,0,0,0
P335,19,988901.21,665935.51,252,350.3,12,78.1,3.4,High,Healthcare,0,1,0
P209,33,949653.41,840867.11,155,161.2,13,53.4,7.6,Medium,Retail,0,1,0
P177,37,135484.13,157175.09,219,201.6,8,77.8,1.8,Low,Finance,1,0,0
P308,34,735017.66,761371.66,295,288.8,5,77.2,14.2,Low,Finance,1,0,0
P460,43,932723.49,1032125.67,365,497.6,11,69.9,2.0,Medium,Finance,0,0,0
P182,31,262517.81,196688.41,345,554.9,5,54.3,7.1,Low,Retail,0,1,0
P628,40,611150.71,779437.59,355,273.9,13,72.9,8.4,High,Retail,1,0,0
P872,33,923939.47,1067522.64,114,94.2,16,74.6,14.8,Medium,Technology,1,0,0
P331,42,130551.38,141037.93,342,361.8,9,71.3,3.3,High,Retail,0,0,0
P520,37,727678.24,627897.5,253,285.3,12,56.6,2.6,Medium,Retail,0,1,0
P409,41,367614.11,391420.81,184,238.6,12,90.9,1.1,Low,Retail,0,0,0
P870,31,931956.58,877625.38,359,314.9,7,68.6,3.2,Low,Finance,1,1,0
P105,37,973952.42,652452.44,199,166.0,6,72.8,3.9,Medium,Healthcare,1,1,0
P154,8,949839.84,940261.11,327,371.0,16,50.9,9.8,Medium,Technology,0,1,0
P706,26,526792.79,510279.91,114,118.0,10,90.9,4.1,Medium,Healthcare,0,1,0
P851,6,875838.39,1061936.79,230,306.3,10,70.3,1.3,Low,Healthcare,0,0,0
P777,14,860094.46,475730.9,206,251.7,14,76.0,12.6,Low,Retail,0,1,0
P928,9,387190.43,405403.85,114,141.2,13,86.2,6.1,Low,Technology,0,0,0
P197,14,846023.93,650496.28,168,180.4,14,68.2,6.0,Medium,Healthcare,0,1,0
P411,37,133306.87,141817.8,157,265.2,10,84.6,5.2,Low,Healthcare,0,0,0
P675,42,636642.89,684299.44,262,233.3,12,54.4,14.7,Medium,Technology,1,0,0
P959,17,307007.95,301675.55,101,126.5,11,80.5,3.4,Medium,Retail,0,1,0
P536,35,208510.2,242175.97,217,169.8,13,90.7,13.6,High,Healthcare,1,0,0
P878,40,169257.88,127086.74,185,153.9,9,69.2,11.9,Medium,Finance,1,1,0
P125,49,726659.9,887647.1,181,171.6,6,86.2,2.1,Low,Healthcare,1,0,0
P184,28,405887.47,348407.4,230,346.7,20,93.3,14.8,Medium,Finance,0,1,0
P110,19,752290.09,518192.67,120,139.9,12,72.5,4.8,Medium,Retail,0,1,0
P433,33,158820.71,150168.28,109,103.8,11,71.6,2.4,Medium,Healthcare,1,1,0
P898,12,383761.3,222953.23,235,280.5,10,66.0,12.6,High,Technology,0,1,0
P636,9,585542.16,615308.07,249,276.1,12,69.9,10.9,High,Technology,0,0,0
P853,33,811650.85,769566.68,132,129.0,8,66.8,9.6,Low,Healthcare,1,1,0
P490,8,386877.25,482334.33,343,257.5,14,66.0,3.2,Low,Retail,1,0,0
P218,16,663302.24,749388.82,219,319.7,9,87.0,7.7,Medium,Retail,0,0,0
P512,49,897379.97,647550.05,149,171.7,9,67.1,11.9,Medium,Technology,0,1,0
P936,6,654276.87,544569.36,240,394.4,7,77.6,5.3,Low,Healthcare,0,1,0
P129,31,309663.53,341909.68,94,125.5,14,75.4,5.4,Medium,Retail,0,0,0
P155,35,121960.7,142622.77,355,439.4,4,90.0,1.0,Medium,Technology,0,0,0
P516,40,883088.99,1099004.41,219,217.1,9,70.0,3.4,Low,Finance,1,0,0
P698,40,119142.47,148082.4,356,294.1,9,78.8,13.3,Medium,Healthcare,1,0,0
P607,30,887231.51,871346.05,267,279.2,8,82.9,7.2,High,Finance,0,1,0
P467,47,576043.42,617824.5,342,280.1,7,89.9,14.8,Low,Finance,1,0,0
P181,31,945160.93,1190664.31,145,183.1,11,69.8,6.5,Medium,Retail,0,0,0
P593,9,818904.91,769228.75,172,259.4,12,68.8,11.0,Medium,Retail,0,1,0
P683,24,998140.7,1073944.73,188,194.5,14,64.4,4.9,High,Retail,0,0,0
P659,15,415640.63,388467.65,238,318.0,10,97.4,6.1,High,Healthcare,0,1,0
P547,14,790469.46,703367.93,245,227.3,11,88.8,3.7,Medium,Finance,1,1,1
P886,44,461737.82,466206.07,279,285.8,7,74.6,5.9,Medium,Healthcare,0,0,0
P645,42,531888.06,458748.83,352,315.5,16,94.3,8.7,Medium,Retail,1,1,1
P880,10,664754.92,647349.51,169,95.8,10,74.0,14.9,Medium,Finance,1,1,0
P525,12,886309.4,702851.36,341,372.0,12,82.2,10.3,Low,Healthcare,0,1,0
P470,27,985675.12,948220.57,186,210.6,10,75.1,3.8,Low,Healthcare,0,1,0
P638,30,791446.07,862421.42,349,476.9,11,79.0,1.6,Low,Technology,0,0,0
P457,50,475990.1,419940.98,349,453.3,13,77.9,2.8,Medium,Healthcare,0,1,0
P867,47,479221.3,480111.86,192,250.0,12,70.8,8.9,Low,Retail,0,0,0
P488,16,763824.07,785110.72,129,110.5,8,85.9,11.7,High,Healthcare,1,0,0
P817,30,314899.43,343400.03,362,439.8,15,82.2,14.2,Low,Finance,0,0,0
P509,17,199426.7,194098.82,190,284.2,11,85.3,1.2,Low,Healthcare,0,1,0
P599,44,419159.94,510190.28,310,370.4,17,78.2,8.3,Medium,Technology,0,0,0
P412,22,358515.09,207872.87,213,331.7,12,65.9,7.6,Medium,Finance,0,1,0
P386,29,366677.31,582118.77,320,513.5,4,92.1,10.2,Low,Finance,0,0,0
P468,37,310246.98,256193.65,267,275.8,10,72.4,8.8,Medium,Technology,0,1,0
P347,44,137883.87,149008.07,152,140.7,3,78.6,10.6,High,Retail,1,0,0
P937,47,116086.54,94297.84,205,186.5,8,81.4,10.2,Low,Finance,1,1,1
P391,16,988950.15,1116379.97,280,201.9,18,78.6,2.6,Medium,Retail,1,0,0
P107,48,484995.82,511822.8,151,146.5,10,84.2,12.2,High,Finance,1,0,0
P405,40,445893.98,387864.13,345,483.7,10,85.7,2.7,Low,Finance,0,1,0
P255,8,711682.55,864422.06,96,52.7,14,72.8,10.8,Medium,Retail,1,0,0
P450,9,296428.5,286707.96,244,205.1,10,91.3,6.8,Medium,Finance,1,1,1
P528,41,954965.07,1059479.49,181,193.3,12,72.3,8.2,Medium,Retail,0,0,0
P201,12,807710.51,659550.59,103,90.7,11,78.4,13.6,Low,Technology,1,1,0
P299,46,180469.9,179355.04,318,307.9,10,71.1,13.5,Low,Retail,1,1,0
P770,32,475822.7,666476.03,175,170.1,6,68.3,12.4,Medium,Technology,1,0,0
P810,35,891206.48,1062846.7,222,229.9,9,85.4,8.1,Low,Finance,0,0,0
P400,13,950258.82,1008722.69,272,249.6,19,100.0,11.3,Medium,Retail,1,0,0
P690,33,520661.36,473914.21,151,135.5,8,71.4,8.2,Medium,Finance,1,1,0
P508,18,652070.25,660873.01,308,410.7,10,87.2,13.2,Medium,Retail,0,0,0
P949,44,250330.55,260221.91,335,456.4,14,71.7,6.6,High,Technology,0,0,0
P834,45,992051.76,1081183.34,319,240.8,9,74.9,14.6,Medium,Technology,1,0,0
P996,26,308504.53,242073.6,168,68.9,13,92.6,14.1,Low,Retail,1,1,1
P102,15,948458.6,1075250.05,238,325.1,13,64.3,11.4,High,Technology,0,0,0
P381,27,684681.98,535477.03,227,180.0,10,61.6,4.9,Low,Finance,1,1,0
P606,5,646963.12,858018.77,154,177.6,7,74.1,2.8,Low,Finance,0,0,0
P728,50,561419.66,474778.2,102,72.3,9,81.6,13.0,Medium,Healthcare,1,1,1
P365,41,307602.83,325851.57,302,430.2,17,79.6,3.3,Medium,Technology,0,0,0
P258,25,258875.23,310916.53,331,574.6,10,78.6,13.0,Medium,Finance,0,0,0
P883,30,298437.59,283373.65,302,346.0,11,75.3,7.9,Low,Retail,0,1,0
P935,50,267794.44,286036.59,270,290.6,9,82.9,6.7,Medium,Technology,0,0,0
P950,40,801626.03,1031721.8,262,267.1,9,45.9,13.6,Low,Finance,0,0,0
P431,27,415112.73,461970.91,249,322.6,9,67.5,9.5,High,Technology,0,0,0
P354,5,152058.41,162871.3,253,314.2,20,74.1,9.1,Low,Retail,0,0,0
P623,44,972192.37,644605.27,277,374.2,6,82.0,8.8,High,Finance,0,1,0
P997,19,895407.3,728194.95,280,264.0,7,89.9,6.2,Medium,Healthcare,1,1,1
P625,25,934977.05,1130746.31,345,408.8,12,66.1,12.0,High,Healthcare,0,0,0
P629,13,995417.04,1108884.69,272,262.3,9,89.6,4.5,Medium,Technology,1,0,0
P455,13,256505.72,293517.77,206,172.1,14,70.5,14.1,Medium,Retail,1,0,0
P955,14,456617.82,514644.53,285,310.6,9,73.7,13.5,Medium,Finance,0,0,0
P568,30,782414.63,984239.5,123,106.9,14,80.8,5.7,Low,Retail,1,0,0
P758,45,726418.56,688441.41,141,196.5,15,73.0,11.2,Low,Finance,0,1,0
P312,39,238506.32,244254.32,201,177.8,7,86.1,9.0,High,Technology,1,0,0
P553,29,834249.81,662615.54,341,406.1,8,71.0,5.7,High,Finance,0,1,0
P179,30,301996.51,224804.84,171,162.3,9,71.1,14.8,Medium,Retail,1,1,0
P248,15,301435.85,202339.38,321,375.3,14,85.5,1.4,Low,Retail,0,1,0
P531,42,583276.98,480017.88,316,306.2,13,67.4,4.5,Medium,Technology,1,1,0
P160,6,633645.94,830400.84,322,253.0,13,77.5,8.3,Medium,Retail,1,0,0
P992,11,622077.59,428894.25,310,378.5,10,58.4,8.3,Medium,Finance,0,1,0
P496,22,182338.15,171268.92,131,136.4,9,93.2,9.2,Medium,Technology,0,1,0
P562,31,889714.78,659608.68,110,128.9,10,87.1,11.5,High,Finance,0,1,0
P481,38,339040.04,298289.19,131,130.1,4,100.0,9.7,Low,Retail,1,1,1
P684,31,216563.43,223913.32,202,155.1,12,88.4,9.4,Medium,Technology,1,0,0
P233,21,899873.27,773870.16,194,265.9,7,63.7,1.7,Medium,Finance,0,1,0
P567,47,960086.35,1169320.82,281,360.9,9,81.7,6.3,Medium,Retail,0,0,0
P647,48,875914.86,1144641.7,106,101.6,3,65.8,4.2,Low,Retail,1,0,0
P542,28,828564.47,455860.31,209,233.5,8,90.8,4.7,Low,Healthcare,0,1,0
P985,29,689717.78,595503.39,218,296.6,11,64.0,8.8,High,Retail,0,1,0
P764,11,595771.63,602818.67,219,215.9,13,63.5,3.8,Medium,Finance,1,0,0
P841,10,178288.08,218442.73,149,152.7,7,58.9,5.1,Medium,Technology,0,0,0
P939,28,467607.89,425126.25,137,159.0,6,70.1,4.3,High,Healthcare,0,1,0
P533,37,435419.67,433683.61,118,116.3,7,68.1,14.3,Medium,Retail,1,1,0
P475,33,333778.41,256559.16,186,244.5,10,62.4,14.2,Low,Retail,0,1,0
P899,47,751078.1,520828.22,99,104.7,9,94.9,9.5,Medium,Retail,0,1,0
P272,26,546288.16,704207.47,331,299.2,13,80.3,13.9,Medium,Finance,1,0,0
P927,30,172941.59,109850.08,321,401.9,8,79.1,12.0,Medium,Healthcare,0,1,0
P416,32,298164.88,437027.36,292,237.8,8,90.9,9.3,Medium,Finance,1,0,0
P434,25,714932.89,818619.8,336,538.8,10,77.6,1.1,Medium,Healthcare,0,0,0
P907,11,168517.77,191435.28,353,528.0,17,67.5,11.8,Medium,Technology,0,0,0
P190,21,866086.22,965767.32,303,372.2,6,58.0,10.8,High,Finance,0,0,0
P941,24,545631.87,518057.2,289,348.9,9,66.9,9.6,Low,Finance,0,1,0
P281,45,532527.92,574287.11,168,200.9,6,90.1,11.6,Low,Technology,0,0,0
P573,24,633167.01,609246.38,262,256.2,13,62.4,8.2,Medium,Healthcare,1,1,0
P901,26,842212.87,935373.96,158,185.5,6,78.5,10.9,Low,Retail,0,0,0
P169,32,413028.29,410245.59,176,153.0,8,85.3,14.1,Low,Technology,1,1,1
P231,44,710214.54,575224.32,190,232.9,3,77.9,6.3,High,Retail,0,1,0
P549,11,609158.77,503095.38,97,127.7,7,79.0,10.9,High,Retail,0,1,0
P630,5,340325.44,273330.86,289,290.6,6,81.6,7.7,Medium,Technology,0,1,0
P235,36,890766.99,1063736.25,176,167.4,9,78.8,10.4,Low,Healthcare,1,0,0
P264,17,817683.42,716708.25,132,105.2,8,91.1,11.7,Low,Retail,1,1,1
P128,34,692606.65,427739.58,198,290.0,10,64.6,1.6,Low,Technology,0,1,0
P652,27,865523.56,934218.2,241,234.0,15,77.4,10.1,Low,Finance,1,0,0
P293,23,880564.78,1147290.95,106,111.3,13,56.8,4.2,High,Finance,0,0,0
P586,36,737526.68,851560.57,222,260.9,13,54.3,10.4,Low,Finance,0,0,0
P676,34,853312.0,750347.35,237,277.4,14,74.2,7.6,Medium,Technology,0,1,0
P701,33,727724.32,496772.02,321,413.0,11,80.4,11.8,Low,Finance,0,1,0
P548,49,712126.69,693003.51,317,318.6,12,91.3,2.7,High,Retail,0,1,0
P240,33,656750.24,635836.18,228,185.9,10,99.2,9.8,Medium,Finance,1,1,1
P273,34,777444.98,626745.1,300,231.5,8,88.2,4.9,High,Finance,1,1,1
P106,20,242744.59,269496.86,117,111.8,13,82.3,12.9,Medium,Retail,1,0,0
P680,44,892783.68,1222511.29,140,120.7,11,76.6,14.0,Medium,Finance,1,0,0
P804,23,884659.17,923988.06,350,358.4,13,59.7,14.9,Low,Retail,0,0,0
